nombre,marca,precio,sku,fuente
Papas Fritas DIA Congeladas 700 Gr.,DIA,269.0,56048,dia
Papas Noisettes DIA 500 Gr.,DIA,363.0,222706,dia
Papas Fritas Lays Clasicas 145 Gr.,LAY&apos;S,399.0,99810,dia
Papas Fritas Tubo DIA con Pimentón 150 Gr.,DIA,294.0,243249,dia
Papas Fritas Lays Queso y Cebolla 86 gr,LAY&apos;S,400.0,259713,dia
Papas Fritas Lay&apos;s Queso y Pimienta 85 Gr.,LAY&apos;S,373.0,285695,dia
Papas Fritas DIA 150 Gr.,DIA,297.0,4766,dia
Papas Fritas Lays Mediterraneas Jamon Serrano 85 Gr.,LAY&apos;S,382.0,259712,dia
Papas Fritas Lay&apos;s Cebolla Caramelizada 85 Gr.,LAY&apos;S,400.0,285696,dia
Papas Fritas Lays Clasicas 45 Gr.,LAY&apos;S,184.0,164459,dia
Papa Blanca en malla x 1 Kg.,DIA,419.0,90090,dia
Papas Fritas Pehuamar Acanaladas 250 Gr.,PEHUAMAR,520.0,271248,dia
Papas Fritas Lays Ketchup 85 Gr.,LAY&apos;S,400.0,278480,dia
Papas Fritas DIA 60 Gr.,DIA,160.0,4765,dia
Papas Fritas Lays Clasicas 94 Gr.,LAY&apos;S,229.0,180408,dia
Papas Fritas Pay DIA 55 Gr.,DIA,183.0,150648,dia
Papas Fritas DIA Jamón Serrano 55 Gr.,DIA,183.0,246901,dia
Papas Fritas DIA Corte Americano 55 Gr.,DIA,160.0,150649,dia
Papas Fritas DIA Corte Tradicional 270 Gr.,DIA,260.0,142211,dia
Papas Fritas Mc Cain Tradicionales 400 Gr.,MCCAIN,199.0,58757,dia
Papas McCain Tradicionales 720 Gr.,MCCAIN,282.0,52200,dia
Papas Fritas Pehuamar Clásicas 145 Gr.,PEHUAMAR,166.0,270812,dia
Papa Negra x 1 Kg.,SIN MARCA,299.0,90094,dia
Papas Noisettes McCain 500 Gr.,MCCAIN,571.0,77923,dia
Papas Fritas Pehuamar Clásicas 250 Gr.,PEHUAMAR,383.42,271249,dia
Papas Smiles McCain 600 Gr.,MCCAIN,675.0,52201,dia
Papas Fritas Krachitos Corte Tradicional 60 Gr.,KRACHITOS,153.9,283973,dia
Papas Fritas Krachitos Corte Americano 110 Gr.,KRACHITOS,225.5,271229,dia
Papas Horneables McCain 600 Gr.,MCCAIN,498.0,258952,dia
Papas Fritas Krachitos 280 Gr.,KRACHITOS,424.0,74145,dia
PAPAS FRITAS PAY KRACHITOS 60GR,KRACHITOS,152.8,271228,dia
Papas Fritas Slices a la provenzal 65 Gr.,SLICES TERRA,189.0,287788,dia
Papas Fritas Pehuamar Acanaladas 140 Gr.,PEHUAMAR,310.0,273114,dia
Papas Fritas Pehuamar Clásicas 80 Gr.,PEHUAMAR,183.8,275626,dia
Papas Fritas Pehuamar Acanaladas 80 Gr.,PEHUAMAR,264.67,275905,dia
Papas Fritas Krachitos Corte Americano 65 Gr.,KRACHITOS,151.8,118566,dia
Papas Fritas Good Show sabor Huevo Frito 63 Gr.,GOOD SHOW,228.8,263133,dia
Papas Fritas Good Show Corte Español 113 Gr.,GOOD SHOW,257.0,264663,dia
Papa Mini con malla x 1 Kg.,SIN MARCA,499.0,90140,dia
"Jardinera DIA Zanahoria, Papa y Arveja 300 Gr.",DIA,118.56,279120,dia
Puré de Papa Knorr Listo 125 Gr.,KNORR,243.0,15002,dia
Puré de Papas Mamá Cocina Tradicional 125 Gr.,MAMA COCINA,201.0,289221,dia
Puré de Papa Knorr Listo Receta Completa 125 Gr.,KNORR,321.47,235383,dia
"Combo Snack DIA: Papas Fritas, Palitos de Maíz y Palitos Salados 320 Gr.",DIA,743.0,135096,dia
Puré de Papas Instantáneo Knorr Listo Regular Sin Conservantes 200 Gr.,KNORR,302.0,221162,dia
Premezcla para Ñoquis de Papa Mamá Cocina Plus 400 Gr.,MAMA COCINA,225.0,174710,dia
Puré de Papas Maggi Textura mas Cremosa 125 Gr.,MAGGI,223.0,165467,dia
Puré de Papas Maggi Textura más Cremosa 200 Gr.,MAGGI,320.0,165468,dia
Pan de Viena Rey Oro con Papa y Queso 300 Gr. 4 Un.,REY ORO,363.0,286967,dia
Pure De Papas Chef 100 Gr.,CHEF,206.75,51604,dia
Pan de Viena Rey Oro con Papa Semillas de Sésamo 300 Gr. 4 Un.,REY ORO,359.0,286965,dia
Pan de Viena Rey Oro con Papa 300 Gr. 4 Un.,REY ORO,342.0,286966,dia
Tortilla de papa a la Española Master Cook 380 Gr.,MASTER COOK,560.0,288741,dia
Tortilla de papa Master Cook 380 Gr.,MASTER COOK,560.0,288743,dia
Papa Lavada Por Kg,SIN MARCA,29.9,7380,vea
Papa Malla Fraccionada 1 Kg,SIN MARCA,27.62,33302,vea
Papas Mccain Tradicional 720 Gr,MC CAIN,301.0,397,vea
"Papas Mccain Congeladas Tradicional 1,5 Kg",MC CAIN,961.0,27715,vea
Papas Mc Cain Noisette 500 Gr,MC CAIN,576.0,25938,vea
Papas Mccain Congeladas Smiles 600 Gr,MC CAIN,681.0,16923,vea
Papas Horneables  Mc Cain  X 600 Gr,MC CAIN,502.0,294062,vea
Papas Mccain Estilo Casero 720 Gr,MC CAIN,556.0,35957,vea
Papas Congeladas  Crinkle Mccain  X 400 Gr,MC CAIN,362.0,301307,vea
